EntityID,LEA Name,County,Total: Total,"Local, Intermediate, State: Total",Total: M&O - Operations,"Local, Intermediate, State: M&O - Operations",Total: M&O - Other,"Local, Intermediate, State: M&O - Other",Total: M&O and CSF & IIF - Operations,"Local, Intermediate, State: M&O and CSF & IIF - Operations",Total: M&O and CSF & IIF - Other,"Local, Intermediate, State: M&O and CSF & IIF - Other",Total Property Revenue,Total Students,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent SPED,Percent ELL,Percent Poverty,Percent Non-White,ELL Grouping,Non-White Grouping,Poverty Grouping,Black Grouping,Hispanic Grouping,SPED Grouping,Per-Pupil Revenue: Total,Per-Pupil Revenue: Maintenance & Operations,Per-Pupil Property Revenue,Property Revenue Quartile,Property Tax Rate
4478,Skull Valley Elementary District,Yavapai,604961,569583,491990,491990,112971,77593,505001,505001,99960,64582,7606227,20,0,0,0,1,0,0,0.113207547,0,Quartiles 1 & 2,Quartile 1,Quartile 1,"Quartiles 1, 2, & 3",Quartile 1,Quartile 1,28479.15,25250.05,380311.35,Quartile 4,5.762
4479,Congress Elementary District,Yavapai,1905657,1723903,1495152,1495152,410505,228751,1559704,1559704,345953,164199,23444069,95,0,0,0.411111111,0.588888889,0.252631579,0,0.12745098,0.411111111,Quartiles 1 & 2,Quartile 2,Quartile 1,"Quartiles 1, 2, & 3",Quartile 3,Quartile 4,18146.34737,16417.93684,246779.6737,Quartile 4,5.3012
4480,Kirkland Elementary District,Yavapai,1402587,1234787,1044186,1044186,358401,190601,1084573,1084573,318014,150214,8707945,78,0,0,0.28,0.72,0.384615385,0,0.352517986,0.28,Quartiles 1 & 2,Quartile 1,Quartile 4,"Quartiles 1, 2, & 3",Quartile 2,Quartile 4,15830.60256,13904.78205,111640.3205,Quartile 3,5.829
4481,Beaver Creek Elementary District,Yavapai,4574467.35,3957956.09,3174214,3174214,1400253.35,783742.09,3346498,3346498,1227969.35,611458.09,26174269,323,0,0,0.358803987,0.641196013,0.247678019,0.037151703,0.125340599,0.358803987,Quartile 3,Quartile 1,Quartile 1,"Quartiles 1, 2, & 3",Quartile 2,Quartile 4,12253.73402,10360.67492,81034.88854,Quartile 3,5.5468
4482,Hillside Elementary District,Yavapai,305229.25,285850.26,229011.48,229011.48,76217.77,56838.78,243534.15,243534.15,61695.1,42316.11,3570295,0,NA,NA,NA,NA,NA,NA,0.136363636,NA,NA,NA,Quartile 2,NA,NA,NA,NA,NA,NA,NA,6.5707
4483,Crown King Elementary District,Yavapai,142305.4,110080.24,88040.85,88040.85,54264.55,22039.39,92269.94,92269.94,50035.46,17810.3,4253570,0,NA,NA,NA,NA,NA,NA,0.142857143,NA,NA,NA,Quartile 2,NA,NA,NA,NA,NA,NA,NA,2.4158
4484,Canon Elementary District,Yavapai,2251429.62,1906212.53,1524811,1524811,726618.62,381401.53,1607895,1607895,643534.62,298317.53,15027816,135,0,0,0.163934426,0.836065574,0.2,0,0.38253012,0.163934426,Quartiles 1 & 2,Quartile 1,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 4,14120.09281,11910.33333,111317.1556,Quartile 3,5.138
4485,Yarnell Elementary District,Yavapai,995621,906944,764591,764591,231030,142353,793085,793085,202536,113859,10125336,44,0,0,0,1,0,0,0.338461538,0,Quartiles 1 & 2,Quartile 1,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 1,20612.36364,18024.65909,230121.2727,Quartile 4,6.3473
4486,Clarkdale-Jerome Elementary District,Yavapai,4012772.97,3576893.98,2996899.66,2996899.66,1015873.31,579994.32,3258121.49,3258121.49,754651.48,318772.49,52443769,472,0,0,0.19527897,0.699570815,0.110169492,0,0.112462006,0.300429185,Quartiles 1 & 2,Quartile 1,Quartile 1,"Quartiles 1, 2, & 3",Quartile 1,Quartile 1,7578.165212,6902.799767,111109.6801,Quartile 3,2.4663
4487,Cottonwood-Oak Creek Elementary District,Yavapai,18467646.81,15853297.63,12431074,12431074,6036572.81,3422223.63,13453984,13453984,5013662.81,2399313.63,231293929,2102,0.009043313,0.009043313,0.419800095,0.524988101,0.135585157,0.11132255,0.214088398,0.475011899,Quartile 4,Quartile 2,Quartile 2,"Quartiles 1, 2, & 3",Quartile 3,Quartile 2,7542.006484,6400.563273,110035.1708,Quartile 3,3.0015
4488,Mingus Union High School District,Yavapai,13135511,12265665,7499416,7499416,5636095,4766249,8289858,8289858,4845653,3975807,283737698,1264,0,0,0.383319968,0.55733761,0.08306962,0.03164557,0.220385675,0.44266239,Quartile 3,Quartile 2,Quartile 2,"Quartiles 1, 2, & 3",Quartile 3,Quartile 1,9703.848892,6558.431962,224476.0269,Quartile 4,2.8962
4499,Yuma Elementary District,Yuma,75347041,60877572,48614106,48614106,26732935,12263466,53083185,53083185,22263856,7794387,716633520,8900,0.007422402,0.016869096,0.735380117,0.220197931,0.10988764,0.12494382,0.245776717,0.779802069,Quartile 4,Quartile 3,Quartile 3,"Quartiles 1, 2, & 3",Quartile 4,Quartile 1,6840.176629,5964.402809,80520.62022,Quartile 3,2.354
4500,Somerton Elementary District,Yuma,25044893.78,19817483.92,15932023,15932023,9112870.78,3885460.92,17447446,17447446,7597447.78,2370037.92,66504791,3058,0,0,0.956607495,0.020052597,0.121648136,0.258665795,0.329615861,0.979947403,Quartile 4,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 4,Quartile 2,6480.53758,5705.508829,21747.80608,Quartile 1,4.292
4501,Crane Elementary District,Yuma,49954871.43,41301339.78,31926605,31926605,18028266.43,9374734.78,35065916,35065916,14888955.43,6235423.78,222818040,6319,0.014084507,0.01313499,0.823389777,0.129767368,0.101756607,0.150815002,0.23470925,0.870232632,Quartile 4,Quartile 3,Quartile 3,"Quartiles 1, 2, & 3",Quartile 4,Quartile 1,6536.056303,5549.282481,35261.59835,Quartile 1,3.1941
4502,Hyder Elementary District,Yuma,2310077.88,1969363.52,1635670,1635670,674407.88,333693.52,1690540,1690540,619537.88,278823.52,65321121,105,0,0,0.854368932,0.145631068,0.114285714,0.142857143,0.218181818,0.854368932,Quartile 4,Quartile 3,Quartile 2,"Quartiles 1, 2, & 3",Quartile 4,Quartile 1,18755.84305,16100.38095,622105.9143,Quartile 4,2.8092
4503,Mohawk Valley Elementary District,Yuma,1965891.29,1673369.66,1359366,1359366,606525.29,314003.66,1458861,1458861,507030.29,214508.66,17709732,155,0,0,0.555555556,0.444444444,0.232258065,0.116129032,0.274285714,0.555555556,Quartile 4,Quartile 2,Quartile 3,"Quartiles 1, 2, & 3",Quartile 3,Quartile 4,10795.93329,9412.006452,114256.3355,Quartile 3,2.9975
4504,Wellton Elementary District,Yuma,2084132.57,1694585.24,1399103,1399103,685029.57,295482.24,1519504,1519504,564628.57,175081.24,27343615,193,0,0,0.837988827,0.162011173,0.119170984,0.113989637,0.29494382,0.837988827,Quartile 4,Quartile 3,Quartile 3,"Quartiles 1, 2, & 3",Quartile 4,Quartile 2,8780.234404,7873.07772,141676.7617,Quartile 3,2.5615
4505,Gadsden Elementary District,Yuma,43536207.28,34052267.89,27797809,27797809,15738398.28,6254458.89,30472834,30472834,13063373.28,3579433.89,66731834,5274,0,0,1,0,0.123625332,0.461319681,0.312443026,1,Quartile 4,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 4,Quartile 2,6456.630241,5777.935912,12652.98331,Quartile 1,4.4513
4506,Antelope Union High School District,Yuma,3416376.17,3015092.52,2341221,2341221,1075155.17,673871.52,2492158,2492158,924218.17,522934.52,110374468,222,0,0,0.756880734,0.243119266,0.184684685,0,0.176470588,0.756880734,Quartiles 1 & 2,Quartile 3,Quartile 2,"Quartiles 1, 2, & 3",Quartile 4,Quartile 4,13581.49784,11225.93694,497182.2883,Quartile 4,2.3559
4507,Yuma Union High School District,Yuma,104117966.4,89812728.37,67372274,67372274,36745692.37,22440454.37,73857975,73857975,30259991.37,15954753.37,1072688185,11161,0.006271839,0.01093092,0.845533554,0.121136099,0.089149718,0.076874832,0.261282072,0.878863901,Quartile 3,Quartile 3,Quartile 3,"Quartiles 1, 2, & 3",Quartile 4,Quartile 1,8047.014458,6617.505152,96110.40095,Quartile 3,2.5521
4510,Parker Unified School District,La Paz,23249911,10120782,7502745,7502745,15747166,2618037,8459790,8459790,14790121,1660992,84433886,1934,0,0,0.476066597,0.180020812,0.181489142,0.017580145,0.342598187,0.819979188,Quartiles 1 & 2,Quartile 3,Quartile 4,"Quartiles 1, 2, & 3",Quartile 3,Quartile 4,5233.08273,4374.245088,43657.64529,Quartile 2,1.1252
4511,Quartzsite Elementary District,La Paz,2014721,1717873,1453023,1453023,561698,264850,1551863,1551863,462858,166010,60788613,183,0,0,0.534482759,0.465517241,0.092896175,0.06010929,0.288135593,0.534482759,Quartile 3,Quartile 2,Quartile 3,"Quartiles 1, 2, & 3",Quartile 3,Quartile 1,9387.284153,8480.125683,332178.2131,Quartile 4,2.2845
4512,Wenden Elementary District,La Paz,1781068.92,1630860.45,1215021,1215021,566047.92,415839.45,1276346,1276346,504722.92,354514.45,15222117,111,0,0,1,0,0.135135135,0.234234234,0.333333333,1,Quartile 4,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 4,Quartile 2,14692.43649,11498.61261,137136.1892,Quartile 3,5.3886
4513,Bouse Elementary District,La Paz,761349,686864,638477,638477,122872,48387,650963,650963,110386,35901,15653498,40,0,0,0.53125,0.46875,0,0,0.195652174,0.53125,Quartiles 1 & 2,Quartile 2,Quartile 2,"Quartiles 1, 2, & 3",Quartile 3,Quartile 1,17171.6,16274.075,391337.45,Quartile 4,4.1921
